0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
52,AUGX,Augmedix| Inc.,4.93,4,4.8,215783632,0.215783632, N/A ,1.67,3,2,4.33,3.33,B,C,A+,B+,C-
53,RXST,RxSight| Inc.,4.93,4,4.33,1057904060,1.05790406, N/A ,1,3.33,2,4.33,3.33,B+,C,A+,B+,D
54,ESEA,Euroseas Ltd.,4.93,3.5,4.5,184058240,0.18405824,0.0784,4.33,2.67,2.33,4,3.33,B-,C+,A,B+,A+
55,GCT,GigaCloud Technology Inc.,4.93,3.5,4.5,488682048,0.488682048, N/A ,3.33,3.33,3.33,4.33,3.67,B+,B+,A+,A-,B+
56,BABA,Alibaba Group Holding Limited,4.93,3.71,4.62,2.21E+11,221.456, N/A ,3,3.33,4.33,2.33,3.33,B+,A+,C+,B+,B
57,MTRX,Matrix Service Company,4.92,N/A,5,248425824,0.248425824, N/A ,4,3.33,1,4.33,3.33,B+,D,A+,B+,A
58,PESI,Perma-Fix Environmental Services| Inc.,4.92,3,N/A,170522272,0.170522272, N/A ,1,3.33,1.67,4.33,3.33,B+,C-,A+,B+,D
59,HSBC,HSBC Holdings plc,4.92,3.2,4,1.51E+11,150.757,0.0547,4,4.33,4.33,3.67,3.67,A+,A+,A-,A-,A
60,FRO,Frontline plc,4.92,4,4,3637658110,3.63765811,0.1573,4.33,4.33,4.33,1.67,4,A+,A+,C-,A,A+
61,TIGR,UP Fintech Holding Limited,4.92,2,4.14,830806140,0.83080614, N/A ,1.33,4.33,1.67,4.33,4.33,A+,C-,A+,A+,D+
62,SKYW,SkyWest| Inc.,4.92,3.5,3.4,1818795260,1.81879526, N/A ,3,1.67,1.33,4.33,3,C-,D+,A+,B,B
63,AEG,Aegon N.V.,4.92,3.5,3.5,9359740900,9.3597409,0.0555,4.33,3,3.33,3,4,B,B+,B,A,A+
64,CRM,Salesforce| Inc.,4.92,3.86,4.13,2.09E+11,208.816, N/A ,1,3.33,4.33,3.67,3.33,B+,A+,A-,B+,D
65,PHM,PulteGroup| Inc.,4.91,3.66,4.29,16737104900,16.7371049,0.0084,2.67,1.67,4,4.33,3.33,C-,A,A+,B+,B-
66,MEDXF,Medexus Pharmaceuticals Inc.,4.91,N/A,4.42,49371764,0.049371764, N/A ,4,4.33,3.67,4.33,3,A+,A-,A+,B,A
67,HMC,Honda Motor Co.| Ltd.,4.91,3,4,58069934000,58.069934,0.0247,3,2.67,4.33,4,3.33,B-,A+,A,B+,B
68,RCL,Royal Caribbean Cruises Ltd.,4.91,3.5,4.19,24956407800,24.9564078, N/A ,1,4,4,4.33,3.67,A,A,A+,A-,D
69,MDWT,Midwest Holding Inc.,4.91,N/A,3,99045856,0.099045856, N/A ,3,4,2.67,4.33,4.33,A,B-,A+,A+,B
70,SHOP,Shopify Inc.,4.91,3.8,3.63,80085295000,80.085295, N/A ,2,4.33,1.67,4,3.33,A+,C-,A,B+,C
71,USAP,Universal Stainless & Alloy Products| Inc.,4.91,3,5,123951728,0.123951728, N/A ,3.33,4,1.67,4.33,4.33,A,C-,A+,A+,B+
72,ELTK,Eltek Ltd.,4.91,4,N/A,48908488,0.048908488,0.0203,3.33,3,3,4.33,3.33,B,B,A+,B+,B+
73,ACLS,Axcelis Technologies| Inc.,4.9,4.25,4.42,5870387700,5.8703877, N/A ,1.33,3.67,3.67,4.33,4,A-,A-,A+,A,D+
74,MOR,MorphoSys AG,4.9,3.5,3.4,1121275140,1.12127514, N/A ,2.67,2.33,4.33,4.33,4,C+,A+,A+,A,B-
75,IGIC,International General Insurance Holdings Ltd.,4.9,4,4,483440640,0.48344064,0.0035,4,4,3.33,4.33,3.67,A,B+,A+,A-,A
76,PAGP,Plains GP Holdings| L.P.,4.9,5,4,3861619200,3.8616192,0.0639,3.33,3,2.33,3,4,B,C+,B,A,B+
77,KB,KB Financial Group Inc.,4.9,4,5,16572276700,16.5722767,0.0524,4,2.67,4.33,3.33,4.33,B-,A+,B+,A+,A
78,CLSK,CleanSpark| Inc.,4.9,3.5,4.75,706738620,0.70673862, N/A ,3.67,3,2,4.33,4.33,B,C,A+,A+,A-
79,HLLY,Holley Inc.,4.9,3,4.4,655426690,0.65542669, N/A ,1.33,2.67,2.33,4.33,4,B-,C+,A+,A,D+
80,DO,Diamond Offshore Drilling| Inc.,4.9,4,4,1591526780,1.59152678, N/A ,1,3.67,1,4.33,4.33,A-,D,A+,A+,D
81,VIRC,Virco Mfg. Corporation,4.9,4,5,91871904,0.091871904, N/A ,4.33,4.33,2,4,4,A+,C,A,A,A+
82,CAT,Caterpillar Inc.,4.89,3.5,3.44,1.42E+11,142.406,0.0176,1.33,2.67,4.33,4,4.33,B-,A+,A,A+,D+
83,TOL,Toll Brothers| Inc.,4.89,3.33,3.75,8369389600,8.3693896,0.0105,2.67,1.67,4,4.33,4,C-,A,A+,A,B-
84,WEAV,Weave Communications| Inc.,4.89,3.5,4.12,609286210,0.60928621, N/A ,2.67,2,2,4.33,3.67,C,C,A+,A-,B-
85,UAL,United Airlines Holdings| Inc.,4.89,4.12,4,14896838700,14.8968387, N/A ,4.33,4.33,4.33,2,3.33,A+,A+,C,B+,A+
86,DINO,HF Sinclair Corporation,4.89,4,3.4,10910562300,10.9105623,0.0295,3,2.33,2.67,3.33,4.33,C+,B-,B+,A+,B
87,PRG,PROG Holdings| Inc.,4.89,4,4,1535867140,1.53586714, N/A ,3,2.33,4,4.33,4.33,C+,A,A+,A+,B
88,SDOT,Sadot Group Inc.,4.89,N/A,5,48403304,0.048403304, N/A ,4.33,3.67,1.33,4,3.67,A-,D+,A,A-,A+
89,GATO,Gatos Silver| Inc.,4.89,3,3.66,414281728,0.414281728, N/A ,2.33,3,2.33,4.33,4,B,C+,A+,A,C+
90,NBTX,Nanobiotix S.A.,4.88,3.5,5,332939552,0.332939552, N/A ,1.33,1.67,1.33,4.33,2,C-,D+,A+,C,D+
91,DMAC,DiaMedica Therapeutics Inc.,4.88,3,5,123335624,0.123335624, N/A ,3,4,2.67,4.33,4,A,B-,A+,A,B
92,BRK.A,Berkshire Hathaway Inc.,4.88,3.8,4,8.03E+11,803.078, N/A ,2.33,3.67,4.33,4,3,A-,A+,A,B,C+
93,CABA,Cabaletta Bio| Inc.,4.88,3,4.71,587920320,0.58792032, N/A ,1.33,3.67,2.67,4.33,3.33,A-,B-,A+,B+,D+
94,NOA,North American Construction Group Ltd.,4.88,3,4.25,619357630,0.61935763,0.0122,1.33,2.33,1.67,4.33,4.33,C+,C-,A+,A+,D+
95,PSIX,Power Solutions International| Inc.,4.88,N/A,5,74647696,0.074647696, N/A ,4.33,3.33,2.67,4,4.33,B+,B-,A,A+,A+
96,WEDXF,The Westaim Corporation,4.88,N/A,4,357566752,0.357566752, N/A ,4,3.33,4.33,4,4.33,B+,A+,A,A+,A
97,CNTA,Centessa Pharmaceuticals plc,4.88,4,3.83,687664770,0.68766477, N/A ,1,1.67,1.67,4.33,3.67,C-,C-,A+,A-,D
98,TMUS,T-Mobile US| Inc.,4.87,3.4,4.48,1.68E+11,168.375, N/A ,2,4,4.33,3.33,3.33,A,A+,B+,B+,C
99,DHI,D.R. Horton| Inc.,4.87,3.5,3.95,38014386000,38.014386,0.0089,3,4,4,3.67,3.67,A,A,A-,A-,B
100,AXAHY,AXA SA,4.87,4,4,68450869000,68.450869,0.0596,3,2.33,4,3.33,4,C+,A,B+,A,B
101,HITI,High Tide Inc.,4.87,4,4.5,128234928,0.128234928, N/A ,3,3.33,3.33,4.33,4.33,B+,B+,A+,A+,B
102,CCL,Carnival Corporation & plc,4.87,3.33,3.83,19042328600,19.0423286, N/A ,1.33,3,1.33,4.33,3.33,B,D+,A+,B+,D+
103,CMPR,Cimpress plc,4.87,3,4.5,1842202750,1.84220275, N/A ,2.67,4,1.33,4.33,2,A,D+,A+,C,B-
104,OVID,Ovid Therapeutics Inc.,4.87,N/A,4.5,271114720,0.27111472, N/A ,2,1.67,2.67,4.33,4.33,C-,B-,A+,A+,C
105,HUT,Hut 8 Mining Corp.,4.87,3,3.66,481867232,0.481867232, N/A ,4.33,3.33,2.67,4,4.33,B+,B-,A,A+,A+
106,PSX,Phillips 66,4.86,3.8,3.77,53893198000,53.893198,0.034,2.33,2.33,3.67,3.67,3.67,C+,A-,A-,A-,C+
107,TNK,Teekay Tankers Ltd.,4.86,3.33,4.5,1310117500,1.3101175,0.013,3.67,4.33,3,1.67,4.33,A+,B,C-,A+,A-
108,BDORY,Banco do Brasil S.A.,4.86,5,5,27762130900,27.7621309,0.087,4.33,2.33,3,4.33,3.67,C+,B,A+,A-,A+
109,BKNG,Booking Holdings Inc.,4.86,4,3.97,1.14E+11,114.128, N/A ,1,4,4.33,4.33,3,A,A+,A+,B,D
110,NCMI,National CineMedia| Inc.,4.86,3,3.66,460672704,0.460672704, N/A ,4.33,3,4.33,4.33,2.33,B,A+,A+,C+,A+
111,ATLX,Atlas Lithium Corporation,4.86,N/A,4.33,266764768,0.266764768, N/A ,1.33,4.33,1,4.33,3.67,A+,D,A+,A-,D+
112,BBSEY,BB Seguridade Participa‡?es S.A.,4.86,4.5,3,12993595400,12.9935954,0.1032,4,3.67,4.33,3.33,4.33,A-,A+,B+,A+,A
113,GM,General Motors Company,4.86,3.5,3.92,46711984000,46.711984,0.0106,3,1.67,4.33,1.67,3.67,C-,A+,C-,A-,B
114,AMWD,American Woodmark Corporation,4.85,3.5,2.66,1275389440,1.27538944, N/A ,3.67,3.67,3,4,4,A-,B,A,A,A-
115,EDU,New Oriental Education & Technology Group Inc.,4.85,3,4.42,9734024200,9.7340242, N/A ,1,3.33,3.67,4.33,3,B+,A-,A+,B,D
116,BBW,Build-A-Bear Workshop| Inc.,4.85,4.33,5,395526272,0.395526272, N/A ,3.67,2.33,3.67,4.33,4,C+,A-,A+,A,A-
117,ARDX,Ardelyx| Inc.,4.85,3,4.75,1015241220,1.01524122, N/A ,1.67,3.67,2.67,4.33,3,A-,B-,A+,B,C-
118,PRDO,Perdoceo Education Corporation,4.85,4,4,1090430850,1.09043085,0.0067,4,2.33,3.67,4,3.67,C+,A-,A,A-,A
119,ESOA,Energy Services of America Corporation,4.85,N/A,5,62458288,0.062458288, N/A ,1.67,1.67,1,4,4.33,C-,D,A,A+,C-
120,BLD,TopBuild Corp.,4.85,3.75,4.08,8223866900,8.2238669, N/A ,1.67,2,3.33,4.33,3.33,C,B+,A+,B+,C-
121,URGN,UroGen Pharma Ltd.,4.85,4,4.4,486134272,0.486134272, N/A ,1.33,1.67,1,4.33,4,C-,D,A+,A,D+
122,YALA,Yalla Group Limited,4.84,4,4,803066300,0.8030663, N/A ,4,3.33,3.67,4,4.33,B+,A-,A,A+,A
123,BCSF,Bain Capital Specialty Finance| Inc.,4.84,4,3,1041389310,1.04138931,0.0905,4,4,1.33,4,4.33,A,D+,A,A+,A
124,MFC,Manulife Financial Corporation,4.84,5,3.5,35044458000,35.044458,0.0544,4,2.33,4.33,2.67,3,C+,A+,B-,B,A
125,GRBK,Green Brick Partners| Inc.,4.84,3.5,3,1950362110,1.95036211, N/A ,3.33,3,3.67,4,3.67,B,A-,A,A-,B+
126,TNET,TriNet Group| Inc.,4.84,3,4,6338206200,6.3382062, N/A ,2,2,3.33,4.33,4.33,C,B+,A+,A+,C
127,HVRRY,Hannover R�ck SE,4.84,3,3.5,27385063400,27.3850634,0.0243,1.67,3.67,4.33,4,3.67,A-,A+,A,A-,C-
128,BOOM,DMC Global Inc.,4.84,4,4,503595552,0.503595552, N/A ,1.33,3.33,1.33,4,4.33,B+,D+,A,A+,D+
129,JBL,Jabil Inc.,4.84,3.5,4.2,13881283600,13.8812836,0.003,2.33,1.67,3.33,4,4,C-,B+,A,A,C+
130,NN,NextNav Inc.,4.83,N/A,4.33,631990660,0.63199066, N/A ,2.67,3.67,1,4.33,1.67,A-,D,A+,C-,B-
131,DAL,Delta Air Lines| Inc.,4.83,4.16,4.65,25548398600,25.5483986,0.0025,3.67,4,4.33,2.67,3.33,A,A+,B-,B+,A-
132,SVRA,Savara Inc.,4.83,3,4.6,497438272,0.497438272, N/A ,1.67,3.67,2.67,4.33,2.67,A-,B-,A+,B-,C-
133,ROCK,Gibraltar Industries| Inc.,4.83,4,4.66,2150039810,2.15003981, N/A ,2.33,3,3,4.33,3.67,B,B,A+,A-,C+
134,AEL,American Equity Investment Life Holding Company,4.83,3,3,4225758980,4.22575898,0.0067,4.33,4,3.67,4.33,2.33,A,A-,A+,C+,A+
135,IDEXY,Industria de Dise¤o Textil| S.A.,4.83,4,4,1.20E+11,120.057,0.0291,1.67,3,4.33,4,4.33,B,A+,A,A+,C-
136,ORAN,Orange S.A.,4.83,4,3,31354540000,31.35454,0.0633,3.67,2.33,4.33,3.33,4.33,C+,A+,B+,A+,A-
137,ACGL,Arch Capital Group Ltd.,4.83,3,4.07,29314555900,29.3145559, N/A ,1.33,4,3.67,4.33,4,A,A-,A+,A,D+
138,ARLO,Arlo Technologies| Inc.,4.82,4,4.5,1029901630,1.02990163, N/A ,1.33,3.33,1.33,4.33,2.67,B+,D+,A+,B-,D+
139,WRLD,World Acceptance Corporation,4.82,N/A,2.33,795860670,0.79586067, N/A ,1.33,3.67,3.33,4.33,3.67,A-,B+,A+,A-,D+
140,TNGX,Tango Therapeutics| Inc.,4.82,3,4.6,838324800,0.8383248, N/A ,1.67,2.33,1,4.33,3,C+,D,A+,B,C-
141,BLBD,Blue Bird Corporation,4.82,4,4.66,664786110,0.66478611, N/A ,1.67,4,1.67,4.33,4,A,C-,A+,A,C-
142,LNG,Cheniere Energy| Inc.,4.82,4.2,4.65,39332270000,39.33227,0.0097,1.33,2,4.33,1.67,4.33,C,A+,C-,A+,D+
143,PDD,PDD Holdings Inc.,4.82,3.87,4.66,1.32E+11,131.623, N/A ,1.33,4,4.33,3.67,3.33,A,A+,A-,B+,D+
144,PCAR,PACCAR Inc,4.82,3.5,3.13,44889838000,44.889838,0.0119,2,1.67,4,3.67,4.33,C-,A,A-,A+,C
145,PFX,PhenixFIN,4.82,N/A,3,78740016,0.078740016, N/A ,2.33,4.33,4.33,3,3.67,A+,A+,B,A-,C+
146,FROG,JFrog Ltd.,4.81,3.5,4.33,2892588290,2.89258829, N/A ,1.67,4.33,2.67,3.67,3.67,A+,B-,A-,A-,C-
147,EYPT,EyePoint Pharmaceuticals| Inc.,4.81,3,4.71,384824480,0.38482448, N/A ,1.33,3.67,3,4.33,2,A-,B,A+,C,D+
148,CIR,CIRCOR International| Inc.,4.81,3,3,1137452800,1.1374528, N/A ,1.67,3,1.67,4.33,2,B,C-,A+,C,C-
149,PCRFY,Panasonic Holdings Corporation,4.81,4,4.33,28133570600,28.1335706,0.0179,3,3.67,4,3.67,3.67,A-,A,A-,A-,B
150,NMIH,NMI Holdings| Inc.,4.81,5,4,2312911870,2.31291187, N/A ,2.67,3,3.33,4,4.33,B,B+,A,A+,B-
151,ACMR,ACM Research| Inc.,4.81,3,4.12,1004776900,1.0047769, N/A ,2.67,4,1.33,4,3.67,A,D+,A,A-,B-
152,APPF,AppFolio| Inc.,4.81,3.5,4.5,6459497000,6.459497, N/A ,1.33,4.33,1.67,4.33,4.33,A+,C-,A+,A+,D+
153,ON,ON Semiconductor Corporation,4.81,4.12,4.2,41629598000,41.629598, N/A ,2,2.33,4,3.67,4,C+,A,A-,A,C
154,KRT,Karat Packaging Inc.,4.8,4,5,445224288,0.445224288,0.0046,2,3,3.33,4.33,4.33,B,B+,A+,A+,C
155,CRWD,CrowdStrike Holdings| Inc.,4.8,3.8,4.52,40768311000,40.768311, N/A ,1.33,4.33,4,3.67,4.33,A+,A,A-,A+,D+
156,MTG,MGIC Investment Corporation,4.8,4.5,4.14,4878498300,4.8784983,0.024,2.67,1.67,4,4,3.67,C-,A,A,A-,B-
157,ICAGY,International Consolidated Airlines Group S.A.,4.8,4,5,9356122100,9.3561221, N/A ,4.33,3.33,4.33,3,3.33,B+,A+,B,B+,A+
158,CESDF,CES Energy Solutions Corp.,4.8,N/A,4.25,720494020,0.72049402,0.0209,2,3.67,1.67,4.33,4,A-,C-,A+,A,C
159,DUOL,Duolingo| Inc.,4.8,3.2,3.6,6563330600,6.5633306, N/A ,1,3.33,2.67,4.33,4.33,B+,B-,A+,A+,D
160,FSLY,Fastly| Inc.,4.8,3.28,3.35,2653767940,2.65376794, N/A ,1.67,2,1.67,4.33,2.67,C,C-,A+,B-,C-
161,NVTS,Navitas Semiconductor Corporation,4.8,3.6,4.57,1349803260,1.34980326, N/A ,2.33,4.33,4.33,3.67,4,A+,A+,A-,A,C+
162,BBAR,Banco BBVA Argentina S.A.,4.8,4,2,2122721280,2.12272128,0.0566,3.67,3,2.67,4.33,4.33,B,B-,A+,A+,A-
163,ADNT,Adient plc,4.79,3,3.45,3590797310,3.59079731, N/A ,4,4.33,2,2.67,4.33,A+,C,B-,A+,A
164,FTAI,FTAI Aviation Ltd.,4.79,4,4.7,3620454660,3.62045466,0.0333,2,4,4.33,4.33,2.67,A,A+,A+,B-,C
165,TCEHY,Tencent Holdings Limited,4.79,3.85,4.75,3.82E+11,381.793,0.0483,1.67,2,4.33,2.33,4.33,C,A+,C+,A+,C-
166,KO,The Coca-Cola Company,4.79,3.57,4.25,2.51E+11,250.553,0.0314,1,1.67,4.33,2,3.67,C-,A+,C,A-,D
167,SOVO,Sovos Brands| Inc.,4.79,2.5,3.33,2290037760,2.29003776, N/A ,1,3.33,2,4.33,3.33,B+,C,A+,B+,D
168,UNM,Unum Group,4.79,4,3.69,9493665800,9.4936658,0.0279,2.67,2.67,3.33,4,3.67,B-,B+,A,A-,B-
169,BRZE,Braze| Inc.,4.79,4,4.27,4514261000,4.514261, N/A ,2.33,2,2,4,4.33,C,C,A,A+,C+
170,GPOR,Gulfport Energy Corporation,4.79,3.5,4.83,2164854270,2.16485427, N/A ,4.33,1.67,4,4,2,C-,A,A,C,A+
171,JILL,J.Jill| Inc.,4.78,3,N/A,282668128,0.282668128, N/A ,3.67,3.33,4.33,4,3.67,B+,A+,A,A-,A-
172,ITCL,Banco Ita£ Chile,4.78,N/A,4.33,2225551620,2.22555162,0.0755,4.33,2.67,1.33,2.33,3.67,B-,D+,C+,A-,A+
173,ARRY,Array Technologies| Inc.,4.78,3.66,4.27,3976151810,3.97615181, N/A ,1.67,4.33,3.33,3.67,3.33,A+,B+,A-,B+,C-
174,TEX,Terex Corporation,4.78,3.5,3.7,3940037630,3.94003763,0.0103,3,3.67,3,4,4,A-,B,A,A,B
175,CPHRF,Cipher Pharmaceuticals Inc.,4.78,N/A,4.66,83270704,0.083270704, N/A ,4.33,2,4.33,4,3.33,C,A+,A,B+,A+
176,QUIK,QuickLogic Corporation,4.78,2,5,121124616,0.121124616, N/A ,1.33,3.67,1.33,4.33,4.33,A-,D+,A+,A+,D+
177,EG,Everest Group| Ltd.,4.78,4,4.36,16459071500,16.4590715,0.0131,2,4.33,4,3.67,3.67,A+,A,A-,A-,C
178,PATH,UiPath Inc.,4.78,3.9,3.71,9951921200,9.9519212, N/A ,2,4.33,3.33,3.33,4.33,A+,B+,B+,A+,C
179,WFC,Wells Fargo & Company,4.77,4,4.07,1.57E+11,157.145,0.0291,1.67,3.67,4.33,2.67,2.67,A-,A+,B-,B-,C-
180,CLBT,Cellebrite DI Ltd.,4.77,N/A,4.14,1436837890,1.43683789, N/A ,1,4,2.33,4,4.33,A,C+,A,A+,D
181,HDELY,Heidelberg Materials AG,4.77,2.5,3,14521684000,14.521684,0.0363,3.33,2.67,3.67,4,4.33,B-,A-,A,A+,B+
182,DXPE,DXP Enterprises| Inc.,4.77,N/A,5,626932220,0.62693222, N/A ,3.67,4,2,4,4.33,A,C,A,A+,A-
